;Author;Author ID
805;R.A. Salvatore;805
806;Jamie Jensen;806
807;Diana Wynne Jones;807
808;Allen Ginsberg;808
809;Truddi Chase;809
810;Hayao Miyazaki;810
811;America's Test Kitchen;811
812;Roald Dahl;812
813;Richard R. George;813
814;Kazuo Ishiguro;814
815;Eva Brann;815
816;Michael Vitez;816
817;Dixie Cash;817
818;Sylvia Browne;818
819;David Foster Wallace;819
820;Walter Scott;820
821;Marianna Mayer;821
822;Elizabeth L. Fuller;822
823;Dave R. Palmer;823
824;George Washington;824
825;Peter A. Lillback;825
826;Elizabeth Wurtzel;826
827;James Mangold;827
828;James N. Frey;828
829;Patricia Cornwell;829
830;Patricia Daniels Cornwell;830
831;John Saul;831
832;Saul Williams;832
833;Saul Leiter;833
834;Saul Bellow;834
835;Linda Jones;835
836;Mark Leyner;836
837;Candace Bushnell;837
838;Allen Carr;838
839;Siegfried Engelmann;839
840;Jim Henson;840
841;Sherrilyn Kenyon;841
842;Jasper Fforde;842
843;Renee Baron;843
844;Crissy Trask;844
845;Dallas Willard;845
846;Dante Alighieri;846
847;Karen Kingsbury;847
848;Julie Otsuka;848
849;David Noonan;849
850;Mary K. Baxter;850
851;Lyle Saxon;851
852;Eckhart Tolle;852
853;Douglas Clegg;853
854;Christopher Golden;854
855;Hope S. Warshaw;855
856;R. de Roussy de Sales;856
857;Douglas Downing;857
858;Peter Biskind;858
859;David Mitchell;859
860;Liam Callanan;860
861;William Camann;861
862;John A. McDougall;862
863;David A. Stewart;863
864;John Sandford;864
865;Jean Sasson;865
866;Fodor's Travel Publications Inc.;866
867;Barbara Bretton;867
868;Plum Sykes;868
869;Mavis Applewater;869
870;Nora Kelly;870
871;Estelle B. Freedman;871
872;Jean Marzollo;872
873;Richard Nelson Bolles;873
874;Michael Neill;874
875;Laura Esquivel;875
876;Emma Holly;876
877;Esther Schor;877
878;Sue Monk Kidd;878
879;Bryan Sykes;879
880;Wanda Sykes;880
881;Charles J. Sykes;881
882;Eric Sykes;882
883;CliffsNotes;883
884;Kathryn Lasky;884
885;Alexander McCall Smith;885
886;Murasaki Shikibu;886
887;Yoshitaka Amano;887
888;Adam Gopnik;888
889;Émile Zola;889
890;Richard A. Hawley;890
891;Philip K. Dick;891
892;K.A. Applegate;892
893;Tracy Kidder;893
894;Peter Cozzens;894
895;Bruce Catton;895
896;John Dos Passos;896
897;Alexandre Dumas;897
898;Lawrence M. Friedman;898
899;Elliott Currie;899
900;Cesare Beccaria;900
901;Katherine Beckett;901
902;Alexandre Dumas fils;902
903;Jeffrey Archer;903
904;Frances Mayes;904
905;Donald Miller;905
906;Kate Sedley;906
907;Jenna Jameson;907
908;Matthew Scully;908
909;Charlie Huston;909
910;Randy Alcorn;910
911;Pamela Duncan Edwards;911
912;Masamune Shirow;912
913;Richard B. Primack;913
914;Elliott A. Norse;914
915;David W. Macdonald;915
916;Jim Dutcher;916
917;Rosita Arvigo;917
918;Zolar;918
919;Pamela Ball;919
920;Humphrey Carpenter;920
921;Janet Brennan Croft;921
922;Brian Sibley;922
923;Ralph C. Wood;923
924;John Garth;924
925;Colin Duriez;925
926;Lin Carter;926
927;John Berendt;927
928;Philippa Pearce;928
929;J.R. Hyland;929
930;Harlow Giles Unger;930
931;George  Adamson;931
932;Brian K. Vaughan;932
933;Sandra Steffen;933
934;Carol Marinelli;934
935;D.W. Meinig;935
936;Mikhail Bakunin;936
937;David Cairns;937
938;Juan Bonilla;938
939;Jacqueline Winspear;939
940;William S. Burroughs;940
941;Jeannette Walls;941
942;Lauren  Levin;942
943;Amy Sohn;943
944;Daniel Jonah Goldhagen;944
945;Luanne Rice;945
946;Mary Alice Monroe;946
947;Brad Thor;947
948;Patricia D. Netzley;948
949;Richard Dawkins;949
950;Laurie Notaro;950
951;Denis Waitley;951
952;Chris Ware;952
953;Voltaire;953
954;Tom Robbins;954
955;Gus Van Sant;955
956;Surya  Das;956
957;Shirin Ebadi;957
958;Mark Nepo;958
959;Mona Lisa Schulz;959
960;Charles R. Swindoll;960
961;Frank Wedekind;961
962;Kathleen A. Brehony;962
963;James Joyce;963
964;Jan Greenberg;964
965;Azar Nafisi;965
966;Pam Muñoz Ryan;966
967;Lolita Files;967
968;Phoebe Dunn;968
969;Jaroslav Hašek;969
970;Ford Madox Ford;970
971;Michael Crichton;971
972;Jeffery Hudson;972
973;J.M. Barrie;973
974;Kenneth C. Laudon;974
975;Annie Dillard;975
976;Elaine Sciolino;976
977;George Bernard Shaw;977
