;ISBN 13;Book title
376;9780140280197;The 48 Laws of Power
377;9780553383683;Gates of Fire
378;9780553295412;Fire Sea (The Death Gate Cycle  #3)
379;9780812590104;The Gate of Fire (Oath Of Empire Book Two)
380;9780385516419;The Afghan Campaign
381;9780553381399;Tides of War
382;9780553382044;Last of the Amazons
383;9780446691437;The War of Art: Break Through the Blocks & Win Your Inner Creative Battles
384;9780826413017;Gita on the Green
385;9780811701648;Blood Stripes: The Grunt's View of the War in Iraq
386;9780140442755;Phaedrus and Letters VII and VIII
387;9780192802774;Phaedrus
388;9780140449747;Phaedrus
389;9780879756321;Lysis/Phaedrus/Symposium: Plato on Homosexuality
390;9781890318239;Enthusiasm and Divine Madness
391;9780872207882;On Love: Lysis/Symposium/Phaedrus/Alcibiades/Selections from Republic & Laws
392;9780801435300;Gorgias/Phaedrus (Agora)
393;9780872204621;Statesman
394;9780140449044;Gorgias
395;9780140449082;The Histories
396;9780140446388;The Histories
397;9780879757779;The History (Great Minds)
398;9780192824257;The Histories
399;9780140440348;The Histories
400;9780393959468;The Histories
401;9780375400612;The Histories
402;9780226327709;The History
403;9780140275360;The Iliad
404;9780872203525;Iliad
405;9780374529055;The Iliad
406;9780147712554;The Iliad/The Odyssey
407;9780140447941;The Iliad
408;9780451527370;The Iliad
409;9780872205420;The Essential Iliad
410;9780143039952;The Odyssey
411;9780374525743;The Odyssey
412;9780060931957;The Odyssey
413;9780140449112;The Odyssey
414;9780451527363;The Odyssey
415;9780865165847;Aeneid: Selections from Books 1  2  4  6  10  12
416;9780674995833;Eclogues. Georgics. Aeneid: Books 1-6
417;9781891190230;City Eclogue
418;9780192837684;The Eclogues and The Georgics
419;9781558321250;Paul Kirk's Championship Barbecue Sauces: 175 Make-Your-Own Sauces  Marinades  Dry Rubs  Wet Rubs  Mops and Salsas
420;9780141000589;The Complete Pelican Shakespeare
421;9780517092941;The Complete Works
422;9780521618748;Hamlet
423;9781557831576;The Compleat Works of Wllm Shkspr (abridged)
424;9780062512796;The Pilgrimage: A Contemporary Quest for Ancient Wisdom
425;9780062513342;The Valkyries
426;9780060527983;Warrior of the Light
427;9780060832810;The Zahir
428;9780061122095;By the River Piedra I Sat Down and Wept
429;9780060930134;The Fifth Mountain
430;9780061124266;Veronika Decides to Die
431;9780140714548;Hamlet
432;9780764586033;Cliffs Notes on Shakespeare's Hamlet
433;9780764585685;Shakespeare's Hamlet
434;9780879232153;Hamlet's Mill: An Essay Investigating the Origins of Human Knowledge and Its Transmission Through Myth
435;9780674991200;History of the Peloponnesian War: Bk. 1-2
436;9780872201682;On Justice  Power and Human Nature: Selections from The History of the Peloponnesian War
437;9780674991224;History of the Peloponnesian War: Bk. 5-6
438;9780872203945;The Peloponnesian War
439;9780393971675;The Peloponnesian War: A New Translation  Backgrounds  Interpretations
440;9780674991873;History of the Peloponnesian War  Bk. 7-8
441;9780929524351;Thucydides  Book 6 Commentary
442;9780226307800;Euripides I: Alcestis / The Medea / The Heracleidae / Hippolytus
443;9780226307848;Euripides V: Electra / The Phoenician Women / The Bacchae
444;9780226307831;Euripides IV: Rhesus / The Suppliant Women / Orestes / Iphigenia in Aulis
445;9781590171806;Grief Lessons: Four Plays by Euripides
446;9780553213638;Ten Plays
447;9780226307824;Euripides III: Hecuba / Andromache / The Trojan Women / Ion (Complete Greek Tragedies  #7)
448;9780226307817;Euripides II: The Cyclops / Heracles / Iphigenia in Tauris / Helen
449;9780140449297;Medea and Other Plays
450;9780674995604;Cyclops / Alcestis / Medea
451;9780521643863;Medea
452;9780140447262;The Bacchae and Other Plays
453;9780195125986;Bakkhai
454;9780413752802;Plays 1: Medea/The Phoenician Women/Bacchae
455;9780486424620;The Trojan Women and Hippolytus
456;9780393325836;The Bacchae of Euripides: A Communion Rite
457;9780192832603;Orestes and Other Plays
458;9780674995338;Children of Heracles / Hippolytus / Andromache / Hecuba
459;9780195061666;Alcestis
460;9780674995666;Suppliant Women / Electra / Heracles
461;9780195145663;Medea
462;9780715631874;Euripides: Medea
463;9780822004240;CliffsNotes on Euripides' Medea and Electra
464;9780674995741;Trojan Women / Iphigenia Among the Taurians / Ion
465;9780674996007;Helen / Phoenician Women / Orestes
466;9780715629949;Euripides: Iphigenia at Aulis (Companions to Greek & Roman Tragedy)
467;9780226307664;The Complete Greek Tragedies  Volume 3: Euripides
468;9780226307787;Aeschylus I: Oresteia (Agamemnon  The Libation Bearers  The Eumenides)
469;9780226307947;Aeschylus II: The Suppliant Maidens  The Persians  Seven against Thebes  and Prometheus Bound (The Complete Greek Tragedies)
470;9780195135923;The Oresteia
471;9780140443332;The Oresteia: Agamemnon  The Libation Bearers  The Eumenides
472;9780872203907;Oresteia
473;9780140441123;Prometheus Bound and Other Plays
474;9780374527051;The Oresteia
475;9780812216271;Aeschylus  1: The Oresteia: Agamemnon/The Libation Bearers/The Eumenides
476;9780226307640;The Complete Greek Tragedies  Volume 1: Aeschylus
477;9780521539814;Aeschylus: The Oresteia (A Student Guide: Landmarks of World Literature)
478;9781400041923;The Oresteia: Agamemnon  Choephoroe & Eumenides (Everyman's Library  No. 260)
479;9780812216714;Aeschylus 2: The Persians/Seven Against Thebes/The Suppliants/Prometheus Bound
480;9780486292427;The Oresteia Trilogy: Agamemnon/The Libation-Bearers/The Furies
481;9781419150012;The Suppliant Maidens/The Persians/Seven against Thebes/Prometheus Bound
482;9780226307862;Sophocles II: Ajax/Women of Trachis/Electra/Philoctetes (Complete Greek Tragedies 4)
483;9780452011670;"The Oedipus Plays of Sophocles: Oedipus the King; Oedipus at Colonus; Antigone"
484;9780451527844;The Complete Plays
485;9780156027649;The Oedipus Cycle: Oedipus Rex  Oedipus at Colonus  Antigone
486;9780140444254;The Three Theban Plays: Antigone  Oedipus the King  Oedipus at Colonus
487;9780872205857;Theban Plays
488;9780679431329;The Theban Plays (Everyman's Library  #93)
489;9780140440287;Electra and Other Plays
490;9780192835888;"Antigone; Oedipus the Kingn; Electra"
491;9781580495936;Oedipus Rex  (The Theban Plays  #1)
492;9780451621603;The Oedipus Plays of Sophocles
493;9780521617352;Oedipus Rex (Greek and Latin Classics)
494;9781416500339;Oedipus the King
495;9780452007178;Four Plays: The Clouds/The Birds/Lysistrata/The Frogs
496;9780415907446;Three Plays by Aristophanes: Lysistrata/Women at the Thesmophoria/Assemblywomen
497;9780553213430;The Complete Plays
498;9780812234565;Aristophanes 1: The Acharnians/Peace/Celebrating Ladies/Wealth
499;9780872203617;Clouds/Wasps/Birds (Aristophanes 1)
500;9780140448146;Lysistrata and Other Plays
501;9781585100873;Acharnians
502;9780199120093;Clouds
503;9780674995376;Clouds/Wasps/Peace
504;9780140441529;Three Plays: The Wasps / The Poet and the Women / The Frogs
505;9780156027656;Four Comedies: Lysistrata / The Frogs / The Birds / Ladies' Day
506;9780674995963;Frogs/Assemblywomen/Wealth (Loeb Classical Library 180)
507;49086007763;Cliffs Notes on Aristophanes' Lysistrata  The Birds  The Clouds  The Frogs
508;9780198721598;Aristophanes and Athens: An Introduction to the Plays
509;9780451616227;Lysistrata
510;9780198140818;Peace
511;9780872206038;Lysistrata
512;9780140443325;The Knights / Peace / The Birds / The Assembly Women / Wealth
513;9780521774338;Genres in Dialogue: Plato and the Construct of Philosophy
514;9781400032716;The Curious Incident of the Dog in the Night-Time
515;9780316156509;The Night Gardener
516;9780743482776;Twelfth Night
517;9780743271325;Brokeback Mountain
518;9780142000281;Getting Things Done: The Art of Stress-Free Productivity
519;9781576751725;Getting Things Done When You Are Not in Charge
520;9788433924636;Formas breves
521;9788433968777;El último lector
522;9781862076655;Money to Burn
523;9788433924711;Respiración artificial
524;9788433924629;Plata quemada
525;9780321317100;American Government: Continuity and Change  Alternate Edition
526;9780321365200;Essentials of American and Texas Government: Continuity and Change
527;9788432216428;El túnel
528;9781565480841;The Confessions (Works of Saint Augustine 1)
529;9780679783190;The City of God
530;9781565481244;The Enchiridion on Faith Hope and Love (Augustine Series 1)
531;9780520227576;Augustine of Hippo: A Biography
532;9780024021502;On Christian Doctrine
533;9780872201866;Confessions  Books 1-13
534;9780143035985;Saint Augustine
535;9780192854520;Augustine: A Very Short Introduction
536;9781565482012;On Genesis/A Refutation of the Manichees/The Unfinished Literal Meaning of Genesis (Works of St Augustine 1)
537;9780060934910;Kitchen Confidential: Adventures in the Culinary Underbelly
538;9788466308953;Confesiones de un chef
539;9780156001267;The Metamorphoses of Ovid
540;9780140447897;Metamorphoses
541;9780393058109;Metamorphoses
